ugCourse,ugSpecialization,jobRole,cgpa,historyofBacklogs,computerLiteracy,problemSolving,TechnicalSkill,ResearchSkill,communicationSkill,interpersonalSkill,teamwork,adaptability,timeManagement,emotionalIntelligence,continousLearning,leadership
BCom,Accounting,E-commerce Manager,5.6,7.0,4.6,7.0,5.9,4.9,9.0,0.9,9.9,6.1,3.1,5.2,4.7,1.2
BSc,Mathematics,Lab Technician,8.2,2.7,2.1,0.3,5.3,4.3,1.3,4.3,2.7,9.1,7.5,5.4,6.4,7.2
BBA,Human Resource Management,Financial Analyst,7.7,13.5,0.3,8.5,0.2,9.8,3.7,5.3,3.0,5.3,2.7,8.8,9.9,8.9
BBA,Business Administration,Operations Manager,5.5,12.9,7.5,3.2,8.5,2.4,4.1,5.9,9.7,5.8,6.5,2.7,3.5,9.1
BFA,Fine Arts,Gallery Curator,8.7,11.3,8.7,5.0,3.0,6.4,6.1,3.2,7.6,7.2,3.8,5.3,4.7,7.0
BCom,Marketing,Retail Manager,3.6,8.6,3.5,7.0,2.5,7.0,9.7,3.2,0.4,3.1,7.3,6.7,2.8,7.4
BA,Economics,Copywriter,2.6,7.5,5.2,9.8,8.3,3.9,1.5,2.6,1.0,9.9,9.6,7.1,2.7,6.9
BEd,Early Childhood Education,ESL Teacher,3.3,13.6,9.1,3.0,6.0,3.2,0.2,1.7,9.0,3.6,1.7,3.3,5.0,8.3
BCA,Web Development,Systems Analyst,9.5,6.4,5.3,4.6,6.8,8.9,5.6,2.8,1.1,8.2,6.7,8.9,9.5,2.5
BArch,Landscape Architecture,Construction Manager,6.7,13.7,6.5,5.3,0.3,9.6,7.1,1.8,6.3,3.3,0.6,6.5,9.1,0.4
BCA,Software Engineering,Software Developer,7.0,4.1,1.7,5.7,7.1,7.7,0.4,0.0,8.5,0.9,4.0,0.7,3.4,1.6
BE or BTech,Mechanical Engineering,Civil Engineer,7.7,11.6,8.4,2.4,8.0,4.8,7.7,9.7,4.6,6.0,2.6,4.9,9.4,2.6
BArch,Architecture,CAD Technician,2.4,3.3,3.1,5.9,4.5,4.0,4.2,6.7,1.3,8.3,2.2,0.4,9.6,2.5
BArch,Architecture,Historic Preservationist,9.4,13.2,3.2,3.3,7.7,0.2,8.7,8.1,3.7,0.0,0.8,0.4,0.3,1.2
BFA,Fine Arts,Gallery Curator,7.9,13.5,9.8,1.1,5.9,2.5,4.5,0.3,4.0,1.1,3.1,0.1,8.8,1.4
BSA,Space Engineering,Astrobiologist,4.8,5.7,5.9,4.2,4.0,7.5,3.3,0.5,6.4,6.4,6.7,3.4,6.9,9.1
BArch,Interior Design,Sustainability Consultant,7.0,7.5,3.2,6.2,0.1,7.4,1.2,1.4,4.7,8.9,4.8,4.9,5.4,7.0
BSc,Chemistry,Pharmaceutical Sales Representative,9.5,10.1,8.7,4.2,6.7,6.5,9.7,1.9,2.2,5.1,3.2,6.2,6.0,9.3
BA,Economics,Public Relations Specialist,9.1,3.4,8.3,1.8,9.9,4.1,8.7,2.7,0.9,7.1,4.5,8.1,6.4,1.7
BCA,Computer Applications,Computer Programmer,3.0,8.1,1.5,8.2,5.2,0.5,1.5,5.1,2.7,4.6,5.8,4.0,7.9,2.9
BFA,Sculpture,Gallery Curator,1.1,14.4,6.8,4.6,0.6,0.1,5.1,5.8,8.0,4.4,6.8,9.1,0.3,8.1
BCA,Computer Applications,Database Administrator,3.0,5.5,6.8,4.7,0.8,3.2,1.1,7.6,4.5,1.4,8.4,0.9,5.0,4.9
BCA,Information Technology,Computer Programmer,4.5,2.1,0.4,7.5,2.4,6.2,8.2,9.8,1.1,0.7,2.2,9.7,1.3,1.8
BE or BTech,Civil Engineering,Civil Engineer,3.0,12.6,4.5,5.0,5.6,9.1,0.7,8.1,6.3,4.6,6.5,1.4,8.9,4.2
BE or BTech,Civil Engineering,Network Engineer,4.2,8.5,5.3,8.2,4.9,2.2,2.8,6.5,1.1,4.3,0.6,3.6,3.0,2.3
BArch,Landscape Architecture,Landscape Architect,1.5,11.5,1.3,6.6,6.7,2.5,5.2,5.7,4.1,6.6,7.5,3.1,4.5,8.8
BCom,Finance,Risk Analyst,4.2,4.0,6.7,7.9,8.1,5.3,3.3,0.2,3.0,9.4,3.2,6.0,9.1,9.3
BSA,Space Engineering,Space Musician,4.0,1.4,0.2,9.9,7.9,3.7,1.2,0.1,5.7,3.6,7.4,7.9,4.0,6.8
BBA,Business Administration,Sales Manager,3.0,12.9,5.9,3.8,2.1,9.3,7.5,4.6,2.6,8.0,4.0,7.8,3.9,9.5
BCA,Computer Applications,Game Developer,3.1,4.4,1.2,5.3,5.1,4.7,7.6,9.3,2.4,1.2,4.6,3.4,2.0,6.6
BCom,Finance,Sales Executive,1.4,10.1,4.5,8.7,2.7,4.2,6.3,6.4,4.4,8.5,8.9,0.6,2.9,7.4
BEd,Secondary Education,Curriculum Developer,2.4,3.3,0.2,2.6,0.1,9.4,7.5,6.7,2.0,4.9,0.5,3.4,6.4,9.2
BSA,Astrophysics,Spacecraft Designer,1.5,10.2,4.0,3.1,6.7,9.8,3.7,7.7,7.3,2.3,5.1,8.6,5.5,2.4
BCom,Marketing,Business Consultant,8.0,0.0,4.9,4.8,8.2,8.4,0.6,0.2,3.5,7.1,6.3,7.5,9.4,4.7
BBA,International Business,Business Development Manager,6.2,0.8,2.3,6.6,3.5,7.4,9.0,2.1,2.8,5.0,9.0,6.8,6.6,0.9
BA,English Literature,Fundraiser,2.2,13.7,2.5,7.7,7.4,1.8,2.8,5.6,6.8,7.4,8.9,0.3,0.1,3.5
BEd,Special Education,Teacher,7.4,13.5,5.1,4.0,8.2,5.1,3.1,0.9,0.8,7.5,0.1,9.4,1.4,6.5
BSc,Chemistry,Research Scientist,5.9,0.2,1.3,1.5,3.2,8.4,0.2,2.1,9.4,2.5,1.4,8.0,8.8,5.9
BCom,Management,Auditor,2.0,0.1,3.5,5.5,8.8,4.2,8.0,3.4,4.0,0.1,7.1,9.7,3.0,4.3
BCA,Web Development,Database Administrator,3.9,6.8,4.8,4.4,9.0,0.6,2.5,9.9,1.6,8.3,8.5,7.9,8.3,9.7
BA,English Literature,Content Writer,5.2,2.8,2.6,2.7,7.4,1.6,8.3,3.0,0.9,6.8,1.1,9.7,5.4,8.7
BA,Psychology,Fundraiser,9.2,11.1,6.7,2.7,6.5,5.4,0.2,9.1,0.7,1.6,5.5,3.6,0.5,6.2
BSA,Astronomy,Astrobiologist,1.1,11.4,3.0,8.3,7.6,6.5,2.6,3.5,6.2,1.9,0.6,7.8,5.6,1.6
BArch,Architecture,Building Inspector,8.5,4.7,0.6,2.9,0.8,3.3,1.7,3.8,1.7,2.3,7.2,3.1,0.7,1.6
BEd,Elementary Education,School Counselor,8.8,12.9,1.2,6.4,5.4,9.8,3.6,0.1,9.4,4.8,3.1,0.4,9.4,9.5
BEd,Elementary Education,Education Administrator,2.8,10.6,0.3,9.2,6.0,8.5,5.3,9.4,8.8,8.6,9.4,1.1,4.6,3.9
BBA,International Business,Supply Chain Manager,4.1,4.3,6.3,6.1,2.0,7.5,6.1,1.6,2.1,1.8,9.6,8.4,9.0,1.9
BE or BTech,Electrical Engineering,Robotics Engineer,2.4,2.6,7.8,2.7,8.1,1.3,6.1,3.3,7.0,3.3,8.0,1.6,8.6,5.1
BA,Economics,Content Writer,7.7,13.1,1.4,2.9,6.1,2.4,3.8,4.9,0.3,3.9,5.1,6.6,4.4,0.5
BA,English Literature,Content Writer,8.4,9.0,8.2,2.8,5.6,4.7,6.5,0.5,1.4,4.6,4.4,4.1,1.0,5.0
BArch,Landscape Architecture,Real Estate Developer,6.6,12.2,3.7,5.3,6.2,1.6,3.0,1.1,1.9,0.7,3.4,4.3,0.2,7.4
BBA,Human Resource Management,Human Resources Manager,8.1,13.8,6.9,6.8,9.2,2.7,0.5,9.7,6.5,1.6,7.4,0.4,7.1,1.2
BArch,Landscape Architecture,Urban Planner,6.7,10.4,2.4,1.8,2.6,1.6,10.0,6.4,8.0,6.5,6.5,0.4,0.3,1.4
BE or BTech,Computer Science,Aerospace Engineer,5.0,1.2,7.5,1.6,5.7,8.5,2.7,9.9,8.2,6.6,5.3,7.1,9.1,3.3
BA,History,Marketing Coordinator,9.3,14.9,1.1,2.1,1.4,1.3,6.8,5.0,5.6,1.2,8.8,3.0,5.4,9.3
BCA,Software Engineering,Computer Programmer,3.4,5.0,3.0,0.1,5.8,3.0,8.9,4.8,5.3,9.5,2.2,5.0,5.4,7.3
BSc,Physics,Biomedical Engineer,2.9,6.2,6.0,7.8,6.6,3.0,6.5,7.6,7.4,2.8,2.4,5.7,0.7,1.6
BEd,Secondary Education,Teacher,8.2,14.7,7.0,7.9,8.5,2.6,2.5,7.5,6.9,9.1,9.3,3.6,7.9,4.7
BEd,Early Childhood Education,School Counselor,1.3,13.2,2.4,9.6,2.3,6.3,6.9,1.6,8.4,3.9,1.4,5.1,2.0,6.8
BArch,Urban Planning,Architect,7.0,13.1,6.9,7.5,8.3,1.2,3.9,7.1,6.4,3.6,6.8,9.7,5.6,9.9
BCom,Management,Auditor,1.7,6.5,1.4,4.7,9.6,3.6,4.5,0.2,2.7,1.3,0.8,10.0,0.5,0.9
BSc,Biology,Statistician,4.0,14.1,4.8,0.0,8.0,7.9,9.9,9.5,5.2,5.5,5.5,4.1,6.8,7.2
BCom,Finance,Auditor,2.5,6.2,6.2,6.9,1.3,9.7,9.3,5.9,6.7,5.7,1.3,6.8,6.1,8.2
BSc,Biology,Environmental Scientist,3.1,11.3,3.3,3.6,9.0,1.8,7.7,1.8,2.3,6.2,4.6,7.3,2.1,8.7
BBA,Human Resource Management,Marketing Manager,5.2,14.8,5.0,7.1,0.5,0.2,9.1,3.5,4.2,5.6,4.9,2.1,8.9,9.8
BFA,Graphic Design,Art Teacher,2.0,1.3,8.0,6.0,4.5,5.9,5.7,7.5,1.5,6.4,1.4,5.2,3.9,1.0
BE or BTech,Mechanical Engineering,Network Engineer,4.6,5.8,4.0,1.7,4.8,7.6,3.1,3.9,7.2,0.3,9.8,2.8,9.9,5.3
BCA,Information Technology,Web Developer,4.3,13.5,5.0,7.4,3.9,3.7,6.4,2.3,2.1,7.4,1.0,7.8,1.8,4.0
BE or BTech,Computer Science,Biomedical Engineer,8.7,3.2,2.5,5.3,4.2,5.6,7.5,8.5,2.5,7.5,2.8,2.1,1.9,3.0
BEd,Secondary Education,Instructional Designer,3.4,4.2,2.5,7.3,7.9,8.2,7.4,6.5,2.5,9.5,9.5,6.3,2.5,8.2
BEd,Elementary Education,School Librarian,8.4,2.9,6.7,7.4,9.3,0.2,7.0,2.7,5.0,7.5,0.2,4.5,8.4,3.1
BA,English Literature,Fundraiser,6.1,8.7,2.9,6.4,7.5,6.8,8.5,1.6,3.5,9.3,6.1,1.4,5.9,8.3
BCA,Software Engineering,Database Administrator,5.9,3.0,9.9,2.1,7.5,5.7,4.6,2.0,0.3,9.2,3.1,0.4,4.5,0.1
BCA,Information Technology,Systems Analyst,6.4,10.4,7.0,6.2,5.7,4.0,2.0,1.2,3.1,9.8,1.8,8.8,6.4,6.5
BCA,Computer Applications,Game Developer,5.0,13.9,8.7,3.5,0.4,5.9,3.5,2.2,4.7,4.5,6.6,6.9,6.2,1.1
BEd,Elementary Education,Tutor,3.9,7.4,8.1,9.6,6.4,2.5,4.7,1.5,1.7,7.6,9.4,0.1,1.9,3.1
BFA,Painting,Art Teacher,6.5,6.4,7.1,8.1,2.4,1.3,0.2,4.3,8.1,9.3,6.4,0.0,6.1,9.2
BEd,Special Education,Education Administrator,5.6,14.1,6.4,5.1,6.3,1.9,10.0,3.3,1.9,9.9,8.5,6.5,6.0,6.4
BE or BTech,Civil Engineering,Chemical Engineer,2.5,15.0,8.5,0.9,4.1,5.7,7.1,3.1,7.1,6.7,2.8,7.0,9.6,1.1
BSc,Physics,Environmental Scientist,1.9,14.9,5.4,2.2,3.7,1.7,3.8,7.9,7.2,1.8,8.1,1.7,7.2,9.4
BCA,Software Engineering,Database Administrator,3.2,7.6,0.6,4.2,7.1,1.3,2.4,7.9,8.1,3.1,7.6,6.8,4.1,0.0
BBA,Business Administration,Operations Manager,7.9,2.4,7.7,4.8,4.3,0.9,7.5,5.8,6.5,3.6,2.6,6.6,6.6,4.5
BCA,Web Development,Systems Analyst,3.8,8.9,9.7,6.6,6.0,9.8,0.1,0.3,7.2,6.8,0.4,7.5,2.4,4.4
BFA,Graphic Design,Film and Video Editor,6.7,1.1,7.0,3.5,0.5,2.4,8.1,0.3,4.6,5.6,2.5,4.0,8.6,2.9
BA,English Literature,Fundraiser,3.6,10.5,0.7,2.4,8.2,3.7,9.4,2.3,0.9,2.3,6.6,2.4,7.1,0.4
BBA,Business Administration,Entrepreneur,1.4,6.0,7.6,4.7,4.7,7.9,6.9,5.7,9.0,2.4,2.0,2.1,0.8,8.2
BCA,Information Technology,UI/UX Designer,6.5,9.5,8.7,2.4,2.1,6.3,4.4,2.8,1.8,3.4,4.6,1.8,2.7,3.0
BFA,Graphic Design,Multimedia Artist,5.0,14.0,7.1,0.8,5.7,8.4,3.0,0.1,3.4,7.2,9.9,9.3,4.3,5.2
BE or BTech,Electrical Engineering,Automotive Engineer,7.7,12.6,4.9,7.5,9.8,4.2,2.0,4.4,3.0,9.5,6.0,1.9,1.9,5.0
BEd,Special Education,Special Education Teacher,9.3,8.3,7.8,9.9,2.5,7.6,8.2,8.7,0.1,3.1,1.3,3.5,7.1,3.9
BCom,Finance,Sales Executive,6.8,12.3,9.0,3.6,5.8,6.9,6.5,1.8,6.6,2.5,7.1,2.1,1.6,4.2
BSc,Physics,Forensic Scientist,7.9,2.1,2.5,3.0,6.0,3.4,5.4,0.3,0.3,7.7,5.6,7.2,6.5,5.2
BEd,Elementary Education,School Librarian,6.7,11.7,0.2,6.9,1.0,0.4,9.6,3.2,9.1,3.7,0.6,6.9,6.9,3.1
BFA,Painting,Animator,1.8,11.1,7.9,3.0,4.0,3.5,7.2,1.6,1.3,4.9,7.8,0.1,7.8,6.6
BSc,Mathematics,Quality Control Analyst,4.4,10.7,0.0,0.8,9.3,3.9,0.6,0.8,1.0,2.6,7.7,3.6,9.8,7.7
BSc,Mathematics,Research Scientist,8.7,5.9,7.8,5.4,7.2,5.7,4.3,2.0,9.2,6.0,2.2,2.8,0.9,9.8
BCom,Finance,Investment Analyst,7.1,6.9,4.2,2.1,7.0,0.4,9.2,3.3,8.8,6.4,4.3,6.2,8.6,2.1
BArch,Architecture,Real Estate Developer,7.9,0.6,4.3,0.8,2.8,6.3,6.6,8.5,3.5,0.8,8.0,2.3,6.8,9.6
BSc,Chemistry,Environmental Scientist,6.9,5.0,9.5,2.8,7.4,7.5,4.8,2.1,1.1,8.5,6.0,2.5,9.1,8.1
BE or BTech,Civil Engineering,Aerospace Engineer,4.6,9.1,7.5,7.9,0.2,1.4,3.5,6.7,4.2,8.2,5.1,2.8,6.1,3.8
BSc,Chemistry,Epidemiologist,4.7,1.5,0.6,6.7,2.7,4.6,7.2,4.0,9.5,9.8,5.7,4.1,5.7,6.6
BCA,Computer Applications,Cybersecurity Analyst,9.9,7.1,5.6,9.8,6.7,2.7,6.0,9.9,4.6,5.3,3.4,8.9,1.7,3.5
BCom,Finance,E-commerce Manager,2.7,11.1,5.3,1.5,4.0,3.4,5.9,9.0,5.7,6.6,8.2,7.5,3.9,0.1
BArch,Urban Planning,Urban Planner,5.6,6.4,5.0,9.9,1.6,2.0,4.2,2.5,4.8,3.1,6.4,4.5,2.5,2.7
BA,English Literature,Event Planner,2.9,11.4,3.0,1.2,6.0,6.8,3.4,9.4,1.8,5.6,8.5,2.1,0.0,5.6
BBA,Business Administration,Supply Chain Manager,2.3,12.6,7.1,8.7,4.8,0.0,7.7,7.6,9.0,0.4,3.0,3.0,9.8,9.7
BA,English Literature,Customer Service Representative,2.9,14.1,3.1,1.7,7.3,1.3,3.3,6.3,2.8,2.4,8.8,4.3,5.9,9.7
BArch,Urban Planning,Historic Preservationist,9.0,6.6,4.0,4.1,4.2,1.3,0.0,5.1,7.4,0.1,0.6,6.6,4.2,0.4
BBA,Human Resource Management,Operations Manager,8.8,4.1,0.6,5.7,0.5,4.8,0.5,2.9,1.9,1.0,5.1,8.5,4.4,8.3
BCom,Management,Sales Executive,7.4,2.1,2.3,8.2,4.3,9.7,7.3,7.6,7.2,6.8,4.1,8.9,3.5,5.9
BEd,Secondary Education,School Counselor,4.7,0.9,6.7,8.2,3.4,1.3,3.0,8.3,0.4,0.5,6.7,9.0,4.8,8.7
BEd,Elementary Education,School Librarian,6.9,14.2,9.9,3.8,3.1,0.5,5.4,9.3,0.0,9.7,8.3,6.3,9.3,9.3
BArch,Urban Planning,Urban Planner,1.5,14.0,7.8,6.0,1.9,1.1,6.1,2.0,0.1,5.4,5.0,6.3,7.0,2.5
BE or BTech,Electrical Engineering,Network Engineer,1.9,15.0,3.8,7.5,0.9,2.2,8.7,7.3,3.4,2.2,2.9,7.1,5.1,7.6
BSc,Chemistry,Lab Technician,2.0,2.8,6.5,6.7,1.7,8.9,4.1,1.5,3.2,8.9,8.4,7.3,5.4,4.7
BFA,Painting,Art Teacher,6.6,0.2,3.0,0.7,4.1,1.4,2.9,5.4,1.6,8.0,7.0,7.6,3.4,0.2
BFA,Fine Arts,Interior Designer,8.9,3.2,3.5,2.0,4.9,0.5,5.4,3.9,10.0,2.9,5.5,0.5,5.3,9.6
BCA,Information Technology,IT Consultant,9.0,2.2,0.0,5.2,1.5,8.4,8.7,2.0,5.7,2.9,0.8,8.2,7.1,7.9
BEd,Secondary Education,Instructional Designer,5.0,6.1,3.4,6.3,4.8,4.9,4.6,6.0,8.3,3.1,7.0,8.7,3.9,2.1
BCA,Information Technology,Network Administrator,8.8,13.0,9.6,5.8,6.1,9.1,7.3,2.0,3.1,4.4,0.0,9.2,8.3,0.7
BBA,Business Administration,Entrepreneur,1.9,4.0,6.6,6.9,0.8,6.1,4.4,5.6,0.6,2.8,0.9,7.6,0.4,1.8
BE or BTech,Mechanical Engineering,Robotics Engineer,8.7,2.9,7.6,5.7,4.5,6.4,1.7,2.6,6.1,8.1,9.1,4.7,2.8,4.0
BFA,Painting,Art Director,6.7,10.2,4.9,6.1,0.9,8.2,9.6,8.7,1.2,5.3,5.8,5.7,9.4,8.8
BArch,Interior Design,Construction Manager,3.0,10.0,1.9,6.0,5.8,1.2,3.6,6.7,2.0,8.4,4.1,9.3,9.2,3.4
BCA,Information Technology,Web Developer,7.6,11.3,6.6,8.5,1.3,4.6,9.6,0.5,0.1,2.3,10.0,8.7,3.6,0.9
BSA,Space Technology,Space Musician,4.3,14.7,7.7,1.7,4.4,9.8,4.5,0.2,2.8,6.3,7.5,4.7,4.3,0.6
BArch,Architecture,Urban Planner,2.6,3.3,9.8,0.9,2.8,6.3,7.6,6.6,6.3,8.9,2.5,3.5,0.0,5.9
BCom,Accounting,Retail Manager,3.1,11.7,2.3,4.6,2.0,2.2,9.2,9.6,8.5,6.8,2.6,6.2,1.6,2.3
BEd,Elementary Education,Curriculum Developer,6.5,7.8,3.1,5.1,3.1,0.4,5.6,7.2,0.5,5.6,8.5,7.9,9.9,1.6
BCA,Computer Applications,Game Developer,8.9,3.1,6.3,1.4,5.7,2.2,4.8,7.2,0.5,0.9,1.9,8.2,0.2,1.4
BCA,Software Engineering,Cybersecurity Analyst,9.8,6.9,0.9,7.4,8.2,7.3,6.4,9.2,3.2,9.4,8.2,8.8,2.0,8.4
BSc,Mathematics,Epidemiologist,7.9,5.6,9.0,5.3,5.1,0.4,2.5,3.7,3.8,3.4,5.7,1.9,0.2,6.4
BSc,Chemistry,Environmental Scientist,1.3,8.5,8.3,7.4,4.2,9.8,8.8,3.5,7.0,5.1,6.1,2.1,1.9,0.2
BSc,Mathematics,Biomedical Engineer,4.1,10.7,1.5,7.3,5.6,9.9,8.6,3.2,8.0,1.4,0.3,1.6,9.1,4.5
BE or BTech,Civil Engineering,Software Engineer,6.0,6.6,1.9,9.5,7.1,7.2,7.0,0.3,4.9,9.3,5.4,6.9,0.6,4.6
BBA,International Business,Entrepreneur,9.8,3.8,9.4,9.6,9.7,6.9,4.6,4.0,9.7,3.1,6.4,5.4,0.2,8.7
BArch,Landscape Architecture,Architect,5.0,11.1,7.9,4.8,9.9,7.5,9.8,8.7,2.3,9.3,9.6,1.6,1.8,8.5
BFA,Graphic Design,Animator,4.2,1.6,1.3,4.5,9.9,8.7,1.7,4.0,3.3,2.4,0.4,7.4,3.2,7.9
BE or BTech,Civil Engineering,Electrical Engineer,8.6,14.5,6.1,1.6,9.5,3.3,4.4,1.9,4.0,6.0,0.4,0.2,6.6,6.0
BSA,Astronomy,Interstellar Photographer,9.5,1.0,8.3,0.9,8.5,6.5,7.6,9.7,9.5,9.9,5.6,5.2,5.7,1.1
BBA,Business Administration,Operations Manager,8.2,2.7,7.0,6.5,3.7,1.2,5.5,8.1,8.9,3.5,4.5,5.3,3.0,2.4
BCA,Computer Applications,IT Consultant,9.6,7.6,5.8,8.7,1.0,9.6,4.9,1.9,8.7,2.2,8.7,8.8,9.1,0.8
BA,Psychology,Marketing Coordinator,7.7,7.9,5.5,7.7,7.1,2.8,7.8,4.2,5.1,1.5,6.7,9.8,7.8,1.0
BFA,Painting,Graphic Designer,5.4,9.3,9.6,9.9,1.4,9.0,4.3,6.8,3.4,5.3,6.2,6.4,6.9,5.1
BA,Economics,Content Writer,7.9,3.3,9.0,7.7,8.1,9.0,7.2,9.1,4.5,0.1,0.4,1.1,0.8,0.4
BSc,Mathematics,Quality Control Analyst,5.4,5.3,3.8,1.6,7.7,8.6,0.3,6.0,6.1,2.9,5.4,7.6,9.7,8.5
BE or BTech,Electrical Engineering,Software Engineer,6.3,6.9,0.8,8.0,6.5,9.6,1.2,6.8,1.7,9.6,5.7,0.7,7.3,4.3
BSA,Astronomy,Space Musician,10.0,14.2,9.4,0.4,0.1,2.4,9.7,5.0,8.2,8.3,3.1,2.3,7.1,7.8
BCom,Management,Financial Analyst,5.9,14.9,7.1,0.8,3.3,7.2,2.5,8.6,7.6,7.4,8.9,8.7,0.6,1.4
BCom,Finance,Accountant,8.0,9.1,3.9,6.7,7.7,0.4,5.7,1.8,0.8,8.5,1.8,9.0,0.7,8.7
BCom,Marketing,Sales Executive,7.5,8.6,6.5,9.4,0.8,2.7,3.4,2.6,2.4,2.4,5.2,6.7,1.4,7.4
BEd,Early Childhood Education,Special Education Teacher,6.3,4.3,7.4,3.7,4.8,2.5,3.1,3.1,8.4,3.2,8.5,7.6,3.5,0.1
BA,Economics,Copywriter,7.3,13.5,8.7,1.7,3.3,3.8,10.0,8.3,3.9,8.8,9.1,5.5,7.4,6.6
BBA,Human Resource Management,Entrepreneur,4.5,11.5,6.5,9.9,4.5,9.5,8.2,0.1,4.0,2.1,9.7,0.9,3.6,3.2
BSA,Astronomy,Spacecraft Designer,1.2,5.4,3.2,5.8,5.9,7.2,8.9,5.8,0.3,2.4,3.4,6.5,2.7,7.9
BFA,Fine Arts,Animator,5.7,13.6,4.0,5.6,1.2,5.2,9.8,8.3,2.7,4.5,3.9,3.0,8.1,7.8
BBA,International Business,Entrepreneur,9.9,3.9,1.3,2.2,0.9,6.8,0.5,6.2,2.8,8.9,8.4,8.9,2.7,5.9
BArch,Interior Design,Sustainability Consultant,4.5,4.7,5.0,3.2,5.2,10.0,4.4,1.7,2.1,3.0,2.7,1.0,4.1,6.6
BEd,Elementary Education,School Librarian,2.1,4.7,7.0,5.4,8.3,7.1,7.1,2.7,7.2,0.1,9.4,0.9,6.8,8.8
BCom,Accounting,Accountant,8.2,4.8,8.7,4.3,4.7,7.8,1.6,7.9,3.9,8.4,4.4,5.7,5.1,3.7
BA,History,Customer Service Representative,2.9,6.3,3.6,5.5,6.3,0.2,0.8,4.1,4.9,5.7,8.9,4.5,5.2,4.0
BA,Economics,Public Relations Specialist,4.6,10.7,0.9,9.0,3.7,1.4,8.8,6.7,5.8,8.1,8.2,1.2,9.3,7.6
BSc,Biology,Statistician,7.7,4.9,9.3,7.8,1.7,5.1,4.7,7.3,8.1,2.0,8.7,2.9,6.3,5.9
BCA,Software Engineering,Web Developer,9.3,0.9,2.5,3.0,7.4,3.2,1.9,9.9,8.2,0.8,8.6,7.9,8.7,1.5
BArch,Architecture,Urban Planner,5.0,5.1,5.4,3.0,3.8,1.7,9.3,7.5,4.3,5.0,6.2,0.2,2.6,3.8
BE or BTech,Electrical Engineering,Robotics Engineer,5.3,7.6,5.2,6.2,4.5,2.3,7.4,7.9,6.1,9.5,5.1,0.2,1.2,10.0
BSA,Astronomy,Spacecraft Designer,6.3,2.5,9.2,0.0,9.8,0.5,4.2,3.0,9.5,8.0,1.0,9.7,9.6,2.9
BCom,Management,Risk Analyst,1.7,2.0,3.4,3.4,9.7,0.2,5.9,6.1,4.2,9.7,9.9,7.7,5.1,9.0
BCA,Web Development,Systems Analyst,3.7,6.2,8.8,1.2,6.8,4.5,9.2,0.2,9.2,7.1,4.5,9.7,6.4,1.2
BSA,Space Technology,Interstellar Photographer,6.4,11.3,9.0,7.6,0.9,1.2,8.8,9.8,9.1,3.5,2.2,1.3,9.6,1.4
BBA,Business Administration,Management Consultant,7.3,0.8,9.6,6.1,6.0,6.0,0.8,5.9,1.4,0.6,7.5,2.1,0.7,4.0
BEd,Special Education,Instructional Designer,7.3,4.6,7.0,1.2,8.3,10.0,6.6,0.1,1.2,4.9,2.6,3.6,7.4,0.1
BSA,Astronomy,Spacecraft Designer,1.0,2.0,2.8,3.0,6.0,8.4,9.2,1.0,5.5,8.2,6.0,6.4,0.1,9.3
BSA,Astrophysics,Astrobiologist,6.3,6.2,6.6,9.6,2.3,6.8,6.4,9.1,5.1,4.6,1.3,6.2,0.1,7.7
BBA,Human Resource Management,Management Consultant,6.4,4.4,9.9,3.0,6.2,5.0,7.6,7.7,4.3,2.1,9.7,1.7,5.0,9.2
BEd,Early Childhood Education,Teacher,5.7,6.0,1.8,1.5,9.3,9.6,5.2,8.6,10.0,0.1,2.0,5.2,0.9,8.6
BBA,Business Administration,Marketing Manager,6.2,5.5,6.3,5.8,9.9,8.4,3.5,0.2,6.0,2.5,5.7,0.6,3.1,8.9
BSA,Space Engineering,Interstellar Photographer,3.2,6.7,0.2,1.8,3.6,2.2,6.8,0.3,7.7,1.5,6.0,1.1,3.4,5.4
BSc,Biology,Quality Control Analyst,2.4,0.1,5.1,1.3,8.8,3.3,4.8,1.7,7.0,1.5,0.7,8.3,3.8,3.1
BSc,Chemistry,Biomedical Engineer,9.7,7.3,10.0,0.8,5.4,2.6,9.8,2.8,6.8,9.8,1.6,7.5,5.6,0.1
BCA,Computer Applications,UI/UX Designer,5.0,8.8,6.5,9.6,0.8,1.3,4.9,7.7,9.5,4.5,6.2,5.6,0.1,6.9
BCom,Finance,Sales Executive,7.4,5.3,2.8,4.5,7.2,6.9,2.0,3.5,2.7,9.2,5.3,9.1,2.2,0.2
BSA,Space Technology,Exoplanetary Geologist,7.7,6.0,1.4,3.1,4.3,3.7,1.7,9.6,1.6,0.6,8.8,2.6,1.2,2.6
BArch,Urban Planning,Real Estate Developer,7.0,2.2,9.6,4.1,6.1,2.7,9.3,0.5,3.6,6.3,1.3,0.7,8.1,3.9
BBA,Human Resource Management,Business Development Manager,6.5,14.4,0.2,3.0,4.4,5.8,0.7,2.9,6.3,3.1,0.3,4.3,1.3,6.8
BArch,Architecture,Interior Designer,8.7,11.1,2.6,9.0,4.7,8.4,7.8,2.5,3.7,5.9,0.2,5.4,2.4,0.4
BCA,Information Technology,Cybersecurity Analyst,1.7,12.4,7.3,8.0,4.4,1.4,3.8,5.4,9.5,6.5,8.3,6.8,2.6,4.3
